Image,Vietnamese,Target word,Transcription,Example
"<img src=""paste-24704651886595.jpg"" />","<div>(n): ‹cái› xứng nhau, hợp nhau; địch thủ, đối thủ, người ngang tài sức;</div><div>(v): xứng, hợp, sánh được, làm cho xứng/hợp; đối chọi, đối địch</div>",match,/mætʃ/,<div>a. It is difficult to make a decision when both candidates seem to be a perfect match.</div><div>b. A headhunter matches qualified candidates to suitable positions.</div><div><br /></div>
"<img src=""img_profile1_1380643440871.jpg"" />","mô tả sơ lược,&nbsp;tiểu sử sơ lược, bản tóm lược các đặc tính",profile,/ˈprəʊfaɪl/,"a.I’d seen her profile on a billboard.<div>b.As jobs change, so does the company’s profile for the job candidate.</div><div><br /></div>"
"<img src=""skillful_circus_acrobatics_04.jpg"" />","<div>(n): tư cách, khả năng, năng lực, trình độ (để làm cái&nbsp;gì);</div><div>(số nhiều) văn bằng / chứng chỉ</div>",qualification,/ˌkwɒlɪfɪˈkeɪʃn̩z/,a.You'll never get a good job if you don't have any qualifications.<div>b.The applicant had so many qualifications that the company created a new position for her.</div><div><br /></div>
"<img src=""paste-63904818397187.jpg"" />",tuyển dụng; thành viên mới,recruit,/rɪˈkruːt/,"a. The new recruits spent the entire day in training.<div>b. When the consulting firm recruited her, they offered to pay her relocation expenses.</div><div><br /></div>"
"<img src=""paper.gif"" />","đệ trình, đưa ra ý kiến là",submit,/səbˈmɪt/,a. Submit your résumé to the human resources department.<div>b. The applicant submitted all her paperwork in a professional and timely manner.</div><div><br /></div>
"<img src=""paste-25988847108099.jpg"" />","cần nhiều thời jan, tốn nhiều thời gian",time-consuming,/ˈtaɪmkənˈsjuːmɪŋ/,a. Producing a dictionary is a very time-consuming job.<div>b. Commuting by car nowadays is much more time-consuming than it used to be.</div><div><br /></div>
"<img src=""paste-18498424143875.jpg"" />","khả năng, năng lực",ability,/əˈbɪləti/,<div>a.The designer’s ability was obvious from her portfolio. &nbsp;&nbsp;</div><div>b.The ability to work with others is a key requirement.</div><div><br /></div>
"<img src=""apply (1).jpg"" />","nộp đơn, ứng tuyển",apply,/əˈplaɪ/,a.She applied for admission to law school.<div>b.Everyone who is interested should apply in person at any branch office.</div><div><br /></div>
"<img src=""PROFILE-A-KHOA2.jpg"" />","<div>kiến thức, kinh nghiệm, quá trình đào tạo, quá trình&nbsp;học tập;</div>",background,/ˈbækɡraʊnd/,a.The school has students from many different backgrounds.<div>b.Your background in the publishing industry is a definite asset for this job.</div><div><br /></div>
"<img src=""paste-22080426868739.jpg"" />",sẵn sàng cho…,be&nbsp;ready for,/bi ˈredi fɔː/,"<div>a.The employer wasn’t ready for the applicant’s questions.</div>b.Thanks to her careful research, the applicant felt that she was ready for the&nbsp;interview with the director of the program.<div><br /></div>"
"<img src=""paste-22990959935491.jpg"" />","mời tới, liên lạc, thông báo (qua điện thoại),&nbsp;",call in,/kɔːl ɪn/,a.I am called in for an interview tomorrow<div>b.People were asked to call in if they wanted further information on the proposal.</div><div><br /></div>
"<img src=""paste-23789823852547.jpg"" />","sự tự tin;&nbsp;<div>sự tin tưởng;</div><div>chuyện riêng, tâm sự giấu kín</div>",confidence,/ˈkɒnfɪdəns/,<div>a.They exchanged confidences like old friends.</div>b.Good applicants show confidence during an interview<div>c.Consumers’ confidence in the economy is strong.</div><div><br /></div>
"<img src=""constantly-connected_collections_bn_1380643440871.jpg"" />","luôn luôn, liên miên;",constantly,/ˈkɒnstəntli/,a. He's constantly changing his mind.<div>b. The company is constantly looking for highly trained employees.</div><div><br /></div>
"<img src=""man-koon-suh.jpg"" />","nhà chuyên môn, chuyên sâu, thành thạo",expert,/ˈekspɜːt/,<div>a.Our department head is an expert in financing.</div><div>b.The candidate demonstrated that he was an expert in marketing.</div><div><br /></div>
"<img src=""Five-Reasons-why-it-is-Necessary-to-Follow-Leads-with-Website-Visitor-Tracking.jpg"" />","tiếp tục, tiếp theo",follow up,/ˈfɒləʊ ʌp/,"<div>a.Always follow up an interview with a thank-you note.</div><div>b.As a follow up, the candidate sent the company a list of references.</div><div><br /></div>"
"<img src=""hesitate1.jpg"" />","do dự, lưỡng lự",hesitate,/ˈhezɪteɪt/,"<div>a. If you need anything, don’t hesitate to call me.</div>b. Kay hesitated for a moment and then said 'yes'.<div><br /></div>"
"<img src=""Salman-Khan-TED.jpg"" />","<div>(v): trình bày, bày tỏ, trình bày (to show); giới thiệu (to introduce);&nbsp;biếu, tặng, trình, dâng, đưa, nộp;</div><div>(n,adj): quà tặng, tặng phẩm; hiện nay, hiện tại; có mặt, hiện diện</div>",present,/prɪˈzent/,a. She was presented with an award .<div>b. Dr. Gottlieb will present her research in a series of lectures this spring.</div><div><br /></div>
"<img src=""SirKenRobinsonPhoto_RyanLashTED_1380643440871.jpg"" />","sự trình diễn, sự giới thiệu, sự trình ra, sự trình bày",presentation,/ˌpreznˈteɪʃn̩/,"a.Presentation of the awards takes place at a banquet in June.<div>b.After the sales presentation, the board had a number of questions.</div><div><br /></div>"
"<img src=""Weakness3_1380643440871.jpg"" />","điểm yếu, sự yếu đuối",weakness,/ˈwiːknəs/,a.&nbsp;Is crying always a sign of weakness?<div>b. The building’s collapse was caused by weakness in several beams.</div><div><br /></div>
"<img src=""paste-228582454460417.jpg"" />","<div><div>(n): hạnh kiểm, tư cách, cách cư xử; ‹sự› chỉ đạo, điều khiển, quản&nbsp;lý...</div><div>(v): đối xử, cư xử; chỉ đạo, điều khiển, quản lý, hướng dẫn, tổ chức;</div></div>",conduct,/kənˈdʌkt/,a. His conduct at the meeting was inappropriate.<div>b. Interviews were conducted over a period of three weeks.</div><div>c. I won’t tell them how to conduct their lives.</div><div><br /></div>
"<img src=""56d03ab317224.jpeg"" />","sinh ra, tạo ra",generate,/ˈdʒenəreɪt/,a. The new training program generated a lot of interest among employees.<div>b. The job fair at the college campus should generate interest in our company.</div><div><br /></div>
"<img src=""paste-19288698126339.jpg"" />","(v) : thuê, mướn;&nbsp;<div>(n) : nhân viên</div>",hire,/ˈhaɪə/,a. Those retiring will be replaced by new hires.<div>b. You ought to hire a lawyer to handle your taxes.</div><div><br /></div>
"<img src=""parents-brave-to-keep-up-with-ever-changing-rules-of-tech-79426a787b.jpg"" />","giữ cân bằng, thích ứng với, theo kịp.",keep up with,/kiːp ʌp wɪð/,<div>a.&nbsp;The workers were told that they must keep up with the changes or they would find&nbsp;themselves without jobs.</div>b. Employees are encouraged to take courses in order to keep up with new developments<div><br /></div>
"<img src=""3148457a496311e1a87612313804ec91_7_1380643440871.jpeg"" />","Khâm phục, ngưỡng mộ,&nbsp;tôn kính, kính trọng (admire);",look up to,/lʊk ʌp tuː/,<div>a. Staff members looked up to the director because he had earned their respect over&nbsp;the years.</div><div>b.There are few people in this world that I look up to as much as I look up to&nbsp;you.</div><div><br /></div>
"<img src=""mentor_1380643440871.jpg"" />",người cố vấn,mentor,/ˈmentɔː/,a. He acted as a business mentor to many young aspiring entrepreneurs.<div><div>b. The mentor helped her make some decisions about combining career and&nbsp;family.</div></div><div><br /></div>
"<img src=""paste-14615773708291.jpg"" />",&nbsp;tập trung vào (focused); đúng thời gian đã định (on schedule);,on track,/ɒn træk/,"<div>a. If we stay on track, the meeting should be finished at 9:30.</div><div>b. You have a lot of work; if you can’t stay on track, let me know&nbsp;immediately.</div><div><br /></div>"
"<img src=""Untitled.jpgrejectiom.jpg"" />","(n): đồ thừa, đồ bỏ, phế phẩm;<div>(v): từ chối, bác bỏ, loại bỏ;</div>",reject,/rɪˈdʒekt/,"<div>a. We put the rejects in this box.</div><div>b. Even though Mr. Lukin rejected their offer, they remained in contact.</div><div><br /></div>"
"<img src=""nvivo_setup.jpg"" />","(v,adj): thành lập, dựng lên (establish, established); bố trí, sắp xếp (arrange,&nbsp;arranged);",set up,/set ʌp/,<div>a.Set up a time and place for the meeting and then inform everyone who is&nbsp;involved.</div><div>b.Check with your supervisor to make sure that your office is all set up&nbsp;before you begin work.</div><div><br /></div>
"<img src=""success-1_1380643440871.jpg"" />",thành công,success,/səkˈses/,a. The company's success is a result of its business model.<div>b. She is determined to make a success of this project.</div><div><br /></div>
"<img src=""employee-training.jpg"" />","sự đào tạo, huấn luyện<div>Ngoài lề : staff số ít là nhân viên, số nhiều là những cán bộ, những người có quyền lực trong tổ chức</div>",training,/ˈtreɪnɪŋ/,a. New staff have a week's training in how to use the system.<div>b. We got two weeks of on-the-job training on how to conduct interviews.</div><div><br /></div>
"<img src=""News-Update-Banner.jpg"" />","cập nhật, nâng cấp",update,/ˌʌpˈdeɪt/,a.Our latest update shows that business is down 15 percent.<div>b.We'll update you on this news story throughout the day.</div><div><br /></div>
"<img src=""paste-44070659424259.jpg"" />","có kiến thức hoặc nhận thức về ai/cái gì, nhận thức",aware,/əˈweə/,a.She was well aware that he was married.<div>b.I suddenly became aware of him looking at me.</div><div><br /></div>
"<img src=""Zuerich_Neumuenster_Basis.jpg"" />","nền tảng, cơ sở, căn cứ;",basis,/ˈbeɪsɪs/,"a. The manager didn't have any basis for firing the employee.<div><div>b. On the basis of my ten years of loyalty to this company, I feel that I deserve three&nbsp;weeks vacation.</div></div><div><br /></div>"
"<img src=""1 (3).jpg"" />","nhận biết, có ý thức, biết, biết được (be conscious of);",be&nbsp;aware of,/bi əˈweər ɒv/,a. Are you aware of the new employee’s past work history?<div>b. She's well aware of her strengths and weaknesses as an artist.</div><div><br /></div>
"<img src=""2641 Trao biểu trưng tiền trợ cấp cho giáo viên, học sinh mắc bệnh hiểm nghèo.JPG"" />","<div>(n): lợi ích, trợ cấp, phúc lợi;&nbsp;</div><div>(v): làm lợi, giúp ích; được lợi, hưởng&nbsp;lợi</div>",benefit,/ˈbenɪfɪts/,"a. In addition to my salary, I get a pension and medical benefits.<div>b. We all benefit from the company’s policy of semiannual reviews</div><div><br /></div>"
"<img src=""Compensation+balance_1380643440871.jpg"" />","bù, bồi thường, đền bù, chi trả, thanh toán",compensate,/ˈkɒmpənseɪt/,a.Corporations often rely on stock options to compensate executives.<div>b.The company compensates employees for overtime by paying double for&nbsp;extra hours.</div><div><br /></div>
"<img src=""paste-46063524249603.jpg"" />","nhạy bén, khéo léo, nhẹ nhàng, tinh vi, tế nhị, nhạy cảm;",delicate,/ˈdelɪkət/,"<div>a. The negotiations have reached a delicate stage.</div><div>b. It’s a delicate operation, and you want an experienced surgeon to do it.</div><div><br /></div>"
"<img src=""paste-43301860278273.jpg"" />","đủ tư cách, thích hợp",eligible,/ˈelɪdʒəbl̩/,a. Who is eligible to apply to take part in the program?<div>b. You have to be employed six months to be eligible for medical benefits.</div><div><br /></div>
"<img src=""How-Flexible-Is-Your-BI-1.jpg"" />","linh hoạt, dễ sai khiến, dễ uốn nắn",flexibly,/'fleksəbli/&nbsp;,"<div><div>a. My manager thinks flexibly, enabling herself to solve many sticky problems.</div><div>b. We need to respond flexibly if we want to keep customers in this competitive market.</div></div><div><br /></div>"
"<img src=""salary3_1380643440871.jpg"" />","đàm phán, thương lượng",negotiate,/nɪˈɡəʊʃɪeɪt/,<div>a. You must know what you want and what you can accept when you negotiate a&nbsp;salary.</div><div>b. The associate looked forward to the day that she would be able to negotiate her&nbsp;own contracts.</div><div><br /></div>
"<img src=""pay-raise.jpg"" />","tăng lên, sự tăng lương",raise,/reɪz/,"<div>a. Stephie raised her hand to ask the teacher a question.</div><div>b. With his raise, Mr. Drvoshanov was able to afford to buy a new car.</div><div><br /></div>"
"<img src=""how-to-retire-early-1.jpg"" />",nghỉ hưu,retire,/rɪˈtaɪə/,a.He is due to retire as chief executive next year.<div>b.Many people would like to win the lottery and retire.</div><div><br /></div>
"<img src=""report-nsa-asks-for-encryption-keys-that-could-allow-it-to-live-on-the-network_1380643440871.jpg"" />","được quyền, được phép, được ban cho",vested,/ˈvestɪd/,"a.The company has a vested interest in the happiness of its employees.<div>b.The day that Ms. Weng became fully vested in the retirement plan, she&nbsp;gave her two weeks’ notice.</div><div><br /></div>"
"<img src=""paste-47893180317697.jpg"" />","tiền công, tiền lương trả theo giờ làm việc",wage,/weɪdʒ/,a.The intern spends more than half of her wages on rent.<div>b.This deal represents an hourly wage rate of $9.83.</div><div><br /></div>
"<img src=""Success-Sign-Photodune.jpg"" />","giành được, hoàn thành, đạt được",achieve,/əˈtʃiːv/,"<div>a. I've been working all day, but I feel as if I've achieved nothing.</div><div>b. She achieved her objective of qualifying for the US Olympic team.</div><div><br /></div>"
"<img src=""retirement+planning.jpg"" />","đóng góp, góp phần",contribute,/kənˈtrɪbjuːt/,a. Tourism contributes substantially to the local economy.<div>b. Make sure your boss is aware of the work you contributed to the project.</div><div><br /></div>
"<img src=""paste-17248588660737.jpg"" />","sự cống hiến, sự hiến dâng",dedication,/ˌdedɪˈkeɪʃn̩/,a.He has always shown great dedication to the cause.<div>b.She thanked the staff for their dedication and enthusiasm.</div><div><br /></div>
"<img src=""j0430487_1__1380643440871.jpg"" />","chờ đợi, mong đợi",look forward to,/lʊk ˈfɔːwəd tuː/,a.I'm look forward to hearing from you soon.<div>b.They had looked forward to that holiday for months.</div><div><br /></div>
"<img src=""rely1 (1).jpg"" />","phụ thuộc vào, dựa vào,&nbsp;tin vào, trông cậy vào, mong đợi ở (ai);",look to,/lʊkt tuː/,<div>a. The workers always looked to him to settle their disagreements.</div><div>b. The staff is looking to their supervisor for guidance and direction.</div><div><br /></div>
"<img src=""loyal_by_1illustratinglady-d384q68.jpg"" />",trung thành,loyal,/ˈlɔɪəl/,a. Supermarkets should reward their most loyal customers.<div>b. Jack has been a loyal worker in this company for almost 40 years.</div><div><br /></div>
"<img src=""certificate_of_merit.jpg"" />","giá trị (cao, tốt, tài giỏi); công lao, công trạng;",merit,/ˈmerɪt/,<div>a. Employees are evaluated on their merit and not on seniority.</div><div>b. Your work has improved tremendously and is of great merit.</div><div><br /></div>
"<img src=""obvious-math.jpg"" />","rõ ràng, rành mạch, hiển nhiên",obvious,/ˈɒbvɪəs/,"a. For obvious reasons, he needs to find work soon.<div>b. Her tardiness was obviously resented by her coworkers.</div><div><br /></div>"
"<img src=""productivity.jpg"" />","năng suất, khả năng làm việc",productive,/prəˈdʌktɪv/,a.What was once desert has become productive farmland.<div>b.We had a very productive meeting – a lot of problems were solved.</div><div><br /></div>
"<img src=""type-employee-boss-promote_1380643440871.jpg"" />","đề đạt, thăng chức; đẩy mạnh, xúc tiến; đề xướng, tích cực ủng hộ",promote,/prəˈməʊt/,a. She was promoted to division manager last year.<div>b. A new campaign has been launched to promote safe driving.</div><div><br /></div>
"<img src=""thumbsup_1380643440871.jpg"" />","sự công nhận, sự thừa nhận",recognition,/ˌrekəɡˈnɪʃn̩/,a. She gained recognition as an expert in energy conservation.<div>b. Recognition of excellent work should be routine for every manager.</div><div><br /></div>
"<img src=""Measuring-Customer-Value.jpg"" />","coi trọng <sub>(không dùng ở present continuous tense)</sub>, định giá",value,/ˈvæljuː/,"a. The painting was valued at $450,000.<div>b. I value his friendship more than I can ever say.</div><div><br /></div>"
"<img src=""paste-7610682048515.jpg"" />","mặc cả, thỏa thuận;<div>sự mặc cả, sự thỏa thuận</div>",bargain,/ˈbɑːɡɪn/,"a. She bargained for over an hour, finally reducing the price by half.<div><div>b. Lois compared the sweaters carefully to determine which was a better&nbsp;bargain.</div></div><div><br /></div>"
"<img src=""10nhan2.jpg"" />","chịu đựng;&nbsp;mang, vác; đỡ, chống đỡ;<div><div>(bất qui tắc) ngoại động từ (bore; borne, born)</div></div>",bear,/beər/,"a. If you can bear with me, I’d like to stop in one more store.<div>b. Since you will bear most of the responsibility, you should get the rewards.</div><div><br /></div><div>Fans bearing banners ringed the stadium.</div><div>The bridge has to be strengthened to bear heavier loads.</div>"
"<img src=""supernanny_1380196c.jpg"" />","thái độ, cách đối xử; cách cư xử, cách ăn ở; tư cách đạo đức",behaviour,/bɪˈheɪvjə/,a. His casual behaviour was wholly inappropriate for such a formal occasion.<div>b. Suspicious behavior in a department store will draw the attention of the&nbsp;security guards.</div><div><br /></div>
"<img src=""Wal-Mart_checkout.jpg"" />","quầy thanh toán;&nbsp;thanh toán;&nbsp;<div>(việc/thời gian/nơi chốn) thanh toán để rời đi (ở siêu thị,&nbsp;KS...);</div>",checkout,/ˈtʃekaʊt/,"a.The line at this checkout is too long, so let’s look for another.<div>b.When I got to the checkout, I realized I'd left my purse at home.</div><div><br /></div>"
"<img src=""hands-holding-comfort.jpg"" />","thoải mái, dễ dàng, an ủi, làm khuây khỏa",comfort,/ˈkʌmfət/,<div>a. Comfort yourself with a down quilt this winter.</div><div>b. I like to dress for comfort if I’m spending the day shopping.</div><div><br /></div>
"<img src=""13865905-expansion.jpg"" />","nới rộng, mở rộng;<div>phát triển (một vấn đề)</div>",expand,/ɪkˈspænd/,"<div><div>a. The new manager has significantly expanded the store's inventory.</div><div>b. The shoe store is out of room and is thinking about expanding into the adjacent&nbsp;vacant building.</div><div><br /></div></div><div>significantly&nbsp;/sɪgˈnɪf.ɪ.kənt.li/&nbsp;: đáng kể</div><div>adjacent&nbsp;/ə'dʤeizənt/ : gần kế, sát ngay</div><div>vacant /'veikənt/ : trống, rỗng</div>"
"<img src=""Explore_2_1380643440871.jpg"" />","thăm dò, thám hiểm, khám phá, khảo sát tỉ mỉ",explore,/ɪkˈsplɔː/,"<div>a. The collector likes to explore antique shops looking for bargains.</div><div>&nbsp; &nbsp; &nbsp; &nbsp;(nhà sưu tầm) &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; (đồ cổ) &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;(món hời)&nbsp;</div><div>b. While his mother shopped for clothes, Michael wandered off to explore the toy&nbsp;section.</div><div><br /></div><div>&nbsp; &nbsp; &nbsp;&nbsp;</div><div><br /></div>"
"<img src=""mi_han_quoc_2_0.jpg"" />","mặt hàng, món đồ, mục",item,/ˈaɪtəm/,<div>a. The grocery store has a special checkout line for people who are purchasing fewer&nbsp;than ten items.</div><div>b. Do you think I can get all these items into one bag?</div><div><br /></div>
"<img src=""paste-62130996903937.jpg"" />","(thuộc) bắt buộc,&nbsp;mệnh lệnh",mandatory,UK /'mændətr̩i/ &nbsp; &nbsp;US /'mændətɔːri/&nbsp;,<div>a. The jewelry store has a mandatory policy of showing customers only one item at a&nbsp;time.</div><div>b.There is a mandatory limit of nine items for use of this checkout line.</div><div><br /></div>
"<img src=""Team_merchandise9084.JPG"" />","(n): hàng hóa; (v): buôn bán, quảng bá sản phẩm",merchandise,/ˈmɜːtʃəndaɪz/,<div>a. I am very impressed with the selection of merchandise at this store.</div><div>b. Helen wanted to maked sure that the store had a wide variety of merchandise&nbsp;before she committed to buying a gift certificate.</div><div><br /></div>
"<img src=""15154980-strict-girl-in-glasses-on-a-white-background_1380643440871.jpg"" />","chặt chẽ, nghiêm khắc, nghiêm ngặt",strict,/strɪkt/,"a. Our store strictly enforces its return policy.<div><div>b. Their high turnover rate is no surprise, considering how strictly the manager deals&nbsp;with them.</div><div><br /></div></div>"
"<img src=""pfeile-trend-marketing.jpg"" />","xu hướng, xu thế",trend,/trend/,<div><div>a. The clothing store tries to <u>stay on top of</u> all the new trends.</div><div>b. Mioshi followed market trends closely before she bought a clothing franchise.</div><div><br /></div></div>
"<img src=""diversity_1380643440871.jpg"" />","đa dạng hóa, làm cho thành nhiều dạng, thay đổi;",diversify,/daiˈvɜːs/,a.The stationery department plans to diversify its offering of paper products.<div><div>b. The consultant that we hired recommends that we don't diversify at this time.</div></div><div><br /></div>
"<img src=""business-managers.jpg"" />","<div>sự nghiệp, dự án lớn; tổ chức kinh doanh, hãng, công ty,&nbsp;xí nghiệp</div>",enterprise,/ˈentəpraiz/,<div>a. The new enterprise quickly established an account with the office supply&nbsp;store.</div><div>b. This enterprise has become unmanageable and is beginning to lose&nbsp;money.</div><div><br /></div>
"<img src=""water2.jpg"" />","<div>(adv): về bản chất, về cơ bản (basically); rốt cuộc, cuối cùng&nbsp;(finally);</div>",essentially,/ɪˈsen.ʃəl.i/,"<div>a. Essentially, she wants to win the contract and put the competition out of business.</div><div>b. After distributing all of the cartridges that were ordered, we were essentially left&nbsp;with none.</div><div><br /></div>"
"<img src=""Morning-exercise-on-an-empty-stomach-should-you-do-it-or-not--1024x640.jpg"" />","thông thường, thông dụng, hàng ngày",everyday,/ˈevrɪdeɪ/,"a.This everyday routine of having to check inventory is boring.<div>b.Though they are more expensive, these folders will withstand everyday&nbsp;wear and tear.</div><div>withstand : chống lại, chống cự, chịu đựng</div><div><br /></div>"
"<img src=""paste-48155173322753.jpg"" />","<div>(n): hàm số, chức năng, nhiệm vụ; (v): hoạt động, thực hiện chức&nbsp;năng/nhiệm vụ;</div>",function,/ˈfʌŋkʃn̩/,a. What is the function of this device?<div>b. She functioned as the director while Mr. Gibbs was away.</div><div><br /></div>
"<img src=""paste-52497385259011.jpg"" />","bảo quản, giữ gìn, duy trì",maintain,/meɪnˈteɪn/,"a.Trying to maintain two different stockrooms is too much work.<div>b.Despite living in different states, the two families have maintained a close friendship.</div><div><br /></div>"
"<img src=""abc.jpg"" />","<div>điều tiên quyết, điều kiện tiên quyết, cần trước hết, đòi hỏi&nbsp;trước hết;</div>",prerequisite,/ˌpriːˈrekwɪzɪt/,<div>a. One of the prerequisites for this job is competence in bookkeeping.</div><div>b. Here are the prerequisites that you need to purchase before coming to&nbsp;class.</div><div><br /></div>
"<img src=""paste-62483184222211.jpg"" />","chất lượng, phẩm chất; đặc tính, năng lực, tài năng, đức tính;",quality,/ˈkwɒlɪti/,<div>a. The most important qualities we look for in a supplier are reliability and quick&nbsp;response.</div><div>b. The quality of their clothes has fallen ever since they started using cheaper fabrics&nbsp;to make them.</div><div><br /></div>
"<img src=""AnhBaiChinhOezil1_1380643440871.jpg"" />","đạt được, thu được, giành được (bằng nỗ lực được lập kế hoạc từ trước)",obtain,/smuːð/,<div><div>a. I've been trying to obtain a list of supplies from the administrator for three weeks&nbsp;now.</div><div>b. The employee obtained the report from her supervisor.</div><div><br /></div></div>
"<img src=""Thai_Airways_First_A380_Delivery.jpg"" />","<div>&nbsp;nhẵn, trơn, mượt, phẳng lặng; trôi chảy, êm thấm; hòa nhã, lễ&nbsp;độ;</div>",smooth,/smuːð/,"<div>a. Thanks to our smooth transition to the new supplier, there was no&nbsp;interruption in shipments.</div>b. Her smooh manner won her the appreciation of the manager but not her colleagues.<div><br /></div>"
"<img src=""source-700x467.jpg"" />","nguồn, nguồn gốc",source,/sɔːs/,<div>a. I can’t tell you the source of this information.</div><div>b. The source of this rare pottery that we are selling in our shop is a small&nbsp;village in India.</div><div><br /></div>
"<img src=""DSC01643.jpg"" />","đồ dùng văn phòng, văn phòng phẩm&nbsp;(giấy để viết và bao thư)",stationery,/ˈsteɪʃənri/,"<div>a. We do not have enough stationery, so please order some more.</div><div>b. The new stationery featured the company’s logo in blue ink at the top of&nbsp;the page.</div><div><br /></div>"
"<img src=""accurate-keyword-research.jpg"" />","(một cách) chính xác, đúng đắn, xác đáng",accurately,/ˈækjʊrətli/&nbsp;,"<div>a. To gauge these figures accurately, we first need to get some facts from&nbsp;the shipping department.</div><div>b. The container company must balance the load accurately or there could&nbsp;be a disaster at sea.</div><div><br /></div>"
"<img src=""UPS-Truck.jpg"" />",người hoặc một hãng vận chuyển,carrier,/ˈkærɪə/,"<div>a. Lou, our favorite carrier, takes extra care of our boxes marked “fragile.”</div><div>b. Mr. Lau switched carriers in order to get a price savings on deliveries out&nbsp;of state.</div><div><br /></div>"
"<img src=""catalogue.jpg"" />",ca ta lô; lập danh mục,catalogue,/ˈkætəlɒɡ/,a. Ellen cataloged the complaints according to severity.<div>b. The upcoming fall catalog shows a number of items from Laos that Mr. Lau has&nbsp;never before been able to offer.</div><div><br /></div>
"<img src=""If-you-want-to-fulfill-your-dreams.jpg"" />","thực hiện, hoàn thành, làm trọn (nhiệm vụ);<div>đáp ứng (mong muốn, mục đích)</div>",fulfill,/fʊlˈfɪl/,"<div>a. The engineers fulfilled a client’s request for larger display screens.</div><div>b. Her expectations were so high, we knew they would be hard to fulfill.</div><div><br /></div>"
"<img src=""cover_800_81c8c89c2243f1211c63817efd201362.jpg"" />","tích phân;tích hợp, cần thiết cho trọn vẹn, trọn vẹn, nguyên khối, quan trọng;",integral,/ˈɪntɪɡrəl/,"<div>a. Good customer relations is an integral component of any business.</div><div>b. A dependable stream of inventory is integral to reliable shipping of orders.</div><div>dependable :&nbsp;có thể tin được, đáng tin cậy, có căn cứ;</div><div><br /></div>"
"<img src=""woman-checking-inventory_1380643440871.jpg"" />","<div>(n): (sự/bản) kiểm kê, tóm tắt; hàng hóa tồn kho, hàng trong&nbsp;kho;</div><div>(v): kiểm kê, tóm tắt, lập danh mục hàng hóa</div>",inventory,/ˈɪnvəntr̩i/,a.Their inventory has not changed much over the years.<div>b.The store closes one day a year so that the staff can take inventory of the&nbsp;stockroom.</div><div><br /></div>
"<img src=""vista_windows_microsoft_minimize_maximize_close_buttons_desktop_2560x1600_wallpaper-85160.jpg"" />","giảm tới mức tối thiểu; làm giảm tầm quan trọng, làm nhỏ lại",minimize,/ˈmɪnɪmaɪz/,"<div><div>a. The shipping staff minimized customer complaints by working overtime to deliver&nbsp;the packages quickly.</div><div>b. To keep the customers happy and to minimize the effect of the carrier strike, we&nbsp;shipped orders directly to them.</div><div><br /></div></div>"
"<img src=""House-on-hand-jpg.jpg"" />","có thể dùng được, có sẵn (available);",on-hand,/ɒn hænd/,"<div>a. We had too much stock on hand, so we had a summer sale.</div><div>b. The new employee will be on hand if we need more help with shipping&nbsp;orders.</div><div><br /></div>"
"<img src=""dontforget.jpg"" />","nhớ, nhớ lại, ghi nhớ",remember,/rɪˈmembə/,a.I will remember the combination to the safe without writing it down.<div>b.I remembered the delivery clerk’s name as soon as I got off the phone.</div><div><br /></div>
"<img src=""cargo-cruise.jpg"" />",vận chuyển,ship,/ʃɪp/,"<div><div>a. Eva shipped the package carefully, since she knew the contents were made of glass.</div><div>b. Very few customers think about how their packages will be shipped, and are&nbsp;seldom home when the packages arrive.</div><div><br /></div></div>"
"<img src=""giao-hang-mien-phi.jpg"" />","người chở hàng, công ty vận chuyển hàng; người gửi hàng",shipper,/ˈʃɪpə/,a. There is a large shipper element in these discussions.<div>b. The company is a shipper of bulk cargo (hàng rời) like lumber and grain.</div><div><br /></div>
"<img src=""hat-Self-Sufficient-Living-is-About-and-8-Tips-on-How-to-Achieve-It-Facebook.jpg"" />","đủ, có đủ (enough);",sufficient,/səˈfɪʃnt/,<div><div>a. The boxcar was sufficiently damaged that it could not be loaded on the truck.</div><div>b. We are sufficiently organized to begin transferring the palettes tomorrow.</div><div><br /></div></div>
"<img src=""paste-94128503259137.jpg"" />","cung cấp, tiếp tế, đáp ứng (nhu cầu); đồ dự trữ, sự cung cấp",supply,/səˈplaɪ/,"a.Gerald supplied the shipping staff with enough labels to last a year.<div>b.By making better use of our supplies, we can avoid ordering until next&nbsp;month.</div><div><br /></div>"
"<img src=""Debit-card-fees-How-to-avoid-them-F8EK9FJ-x-large.jpg"" />","<div>(n): tiền phải trả, tiền công, thù lao;&nbsp;</div><div>(v): tính tiền, đòi trả, bắt chịu chi&nbsp;phí;</div>",charge,/tʃɑːdʒ/,a. The customer service representative was responsible for telling all existing&nbsp;customers that higher prices would be charged next month.<div>b. The extra charge for gift wrapping your purchase will appear on your&nbsp;invoice.</div><div><br /></div>
"<img src=""Russland.jpg"" />","thu thập, biên soạn, soạn thảo",compile,/kəmˈpaɪl/,<div>a. I have compiled a list of the most popular items in our sales catalog.</div><div>b. The clerk is responsible for compiling the orders at the end of the day.</div><div><br /></div>
